product_id,product_name,price_usd,rating,reviews,category_id
P473671,Fragrance Discovery Set,35.0,3.64,11,2
P473668,La Habana Eau de Parfum,195.0,4.15,13,2
P473662,Rainbow Bar Eau de Parfum,195.0,4.25,16,2
P473660,Kasbah Eau de Parfum,195.0,4.48,21,2
P473658,Purple Haze Eau de Parfum,195.0,3.23,13,2
P473661,Kasbah Eau de Parfum Travel Spray,30.0,4.48,21,2
P473659,Purple Haze Eau de Parfum Travel Spray,30.0,3.23,13,2
P473666,Invisible Post Eau de Parfum,195.0,3.62,8,2
P472300,Capri Eau de Parfum,195.0,3.57,7,2
P473667,Invisible Post Eau de Parfum Travel Spray,30.0,3.62,8,2
P473663,Rainbow Bar Eau de Parfum Travel Spray,30.0,4.25,16,2
P473670,Capri Eau de Parfum Travel Spray,30.0,3.57,7,2
P473664,Lair Barbes Eau de Parfum,195.0,3.0,4,2
P473665,Lair Barbes Eau de Parfum Travel Spray,30.0,3.0,4,2
P476416,AFRICAN Beauty Butter Intensive Dry Skin Treatment,38.0,4.33,258,1
P476418,African Beauty Butter Mini Gift Set,29.0,3.56,41,1
P476417,African Beauty Butter Collection Deluxe Tin,80.0,4.23,22,1
P503832,Mini AFRICAN Beauty Butter Intensive Dry Skin Treatment,12.0,4.52,143,1
P483068,ABBOTT Sampler Set,26.0,4.82,49,2
P483139,The Cape Perfume,84.0,4.61,18,2
P483080,Crescent Beach Perfume Travel Spray,29.0,4.78,9,2
P483079,Crescent Beach Perfume,84.0,4.59,17,2
P483131,Seqouia Eau de Parfum Travel Spray,29.0,4.17,6,2
P483130,Sequoia Perfume,84.0,4.62,21,2
P483108,Mojave Perfume Travel Spray,29.0,4.71,7,2
P483140,The Cape Perfume Travel Spray,29.0,3.83,6,2
P483072,Big Sky Eau de Parfum Travel Spray,28.0,4.25,4,2
P483071,Big Sky Eau de Parfum,84.0,4.62,8,2
P483110,Montecito Perfume Travel Spray,29.0,3.71,7,2
P483109,Montecito Perfume,84.0,4.11,9,2
P483107,Mojave Perfume,84.0,4.09,11,2
P443401,Blu Mediterraneo Mini Eau de Toilette Set,77.0,3.33,12,6
P307804,Mirto di Panarea,84.0,4.44,39,2
P375388,Arancia di Capri,84.0,3.95,37,2
P163604,Colonia,181.0,4.21,80,2
P252213,Magnolia Nobile,210.0,4.28,43,2
P456550,Yuzu Eau de Parfum,135.0,4.67,6,2
P377678,Oud Eau de Parfum,295.0,4.26,19,2
P269110,Colonia Essenza,130.0,4.53,15,2
P448830,Buongiorno Diffuser,112.0,4.62,8,2
P380571,Colonia AlcoholFree Deodorant,55.0,3.2,10,1
P422289,Colonia Pura,130.0,4.57,7,2
P471525,Arancia di Capri Candle,82.0,4.29,123,2
P471526,Fico di Amalfi Candle,82.0,4.0,2,2
P460438,Aperitivo In Terrazza Diffuser,112.0,5.0,1,2
P448828,Luce di Colonia Diffuser,112.0,2.67,3,2
P457232,Baomint Deep Conditioning Treatment,39.0,4.53,311,3
P474806,Blue Tansy Reparative Mask,40.0,4.76,492,3
P457233,Baomint Leave In Conditioning Styler,26.0,4.35,144,3
P474808,Blue Tansy Leave in Conditioning Styler,26.0,4.58,210,3
P457234,Baomint Moisturizing Shampoo,24.0,4.13,136,3
P474804,Blue Tansy Clarifying Gel Shampoo,25.0,4.31,193,3
P481372,Melonberry Hair Milk LeaveIn Conditioner,24.0,4.38,1265,3
P457237,Baomint Protect  Shine Oil Blend,24.0,4.54,237,3
P457236,Baomint Moisturizing Curl Defining Cream,32.0,4.56,252,3
P474807,Blue Tansy Treatment Serum,36.0,4.65,215,3
P457235,Baomint Moisturizing Curl Defining Gel,32.0,4.42,234,3
P474805,Blue Tansy Reparative Conditioner,25.0,4.35,186,3
P473150,Mini Baomint Deep Conditioning Treatment,15.0,4.2,5,3
P473151,Mini Baomint Deluxe Travel Kit,56.0,4.73,173,3
P473154,Mini Baomint Moisturizing Curl Defining Gel,14.0,4.29,123,3
P473153,Mini Baomint Moisturizing Curl Defining Cream,14.0,4.29,123,3
P473152,Mini Baomint LeaveIn Conditioning Styler,13.0,4.29,123,3
P473155,Mini Baomint Moisturizing Shampoo,12.0,4.29,123,3
P473156,Mini Baomint Protect  Shine Oil Blend,11.0,4.29,123,3
P398965,Rose Lip Conditioner,35.0,4.26,527,4
P405269,Mediterranean Honeysuckle,145.0,4.22,139,2
P405273,Mediterranean Honeysuckle Eau de Parfum Travel Spray,35.0,4.2,50,2
P388770,Amber Musk,145.0,4.38,120,2
P398823,Amber Musk Eau de Parfum Travel Spray,35.0,4.19,48,6
P428454,Hibiscus Palm Eau de Parfum,145.0,4.33,60,2
P388762,Ikat Jasmine,200.0,4.34,65,2
P388766,Lilac Path,145.0,4.29,80,2
P395768,Waterlily Sun,145.0,4.35,51,2
