product_name,price_usd,rating,number_of_reviews,gender_target,cruelty_free,country_of_origin,gender_id,country_id
Ultra Face Mask,67.85,1.4,686,Female,False,Australia,1,1
Ultra Lipstick,116.43,4.2,5483,Unisex,False,UK,3,7
Ultra Serum,90.84,1.6,5039,Male,True,Italy,2,4
Divine Serum,55.17,3.2,6202,Male,True,South Korea,2,6
Super Foundation,140.56,1.7,297,Female,False,Germany,1,3
Super Eye Shadow,135.82,3.2,9405,Female,True,UK,1,7
Super Lip Gloss,148.99,2.5,2423,Female,True,Germany,1,3
Ultra Cleanser,21.43,4.3,8032,Male,True,Italy,2,4
Magic Highlighter,113.09,3.3,2468,Unisex,True,Germany,3,3
Perfect Bronzer,133.57,4.4,4127,Female,False,Japan,1,5
Ultra Moisturizer,104.91,4.0,8876,Female,True,UK,1,7
Divine CC Cream,101.88,4.7,7196,Male,False,Italy,2,4
Ultra Setting Spray,34.2,1.9,4799,Unisex,False,Australia,3,1
Divine Primer,96.0,2.2,3557,Male,True,Germany,2,3
Divine Exfoliator,26.21,4.9,4167,Unisex,True,USA,3,8
Perfect Blush,104.06,3.2,2802,Unisex,False,UK,3,7
Perfect Highlighter,131.95,4.0,4860,Female,False,USA,1,8
Super Cleanser,90.45,1.5,9690,Unisex,True,South Korea,3,6
Ultra Face Oil,65.13,2.9,2612,Male,False,Australia,2,1
Divine Lip Gloss,55.14,3.8,9593,Male,False,France,2,2
Perfect Blush,35.33,3.4,4230,Unisex,False,South Korea,3,6
Divine Foundation,145.37,2.3,6045,Male,True,France,2,2
Divine Cleanser,119.26,4.6,9425,Male,False,Japan,2,5
Perfect Eyeliner,148.69,3.7,59,Unisex,True,Australia,3,1
Super Serum,96.3,3.2,7512,Male,True,Australia,2,1
Divine Setting Spray,105.54,4.9,1098,Female,False,Japan,1,5
Magic Eye Shadow,34.06,3.0,4490,Unisex,False,Japan,3,5
Ultra Exfoliator,62.56,2.3,3254,Female,False,France,1,2
Magic Lip Liner,120.23,1.6,3813,Male,False,Germany,2,3
Super Makeup Remover,62.98,3.3,1926,Female,True,UK,1,7
Perfect BB Cream,74.95,1.9,1270,Unisex,True,France,3,2
Magic BB Cream,46.66,4.6,5398,Male,False,Italy,2,4
Super Lip Liner,27.45,1.2,9692,Female,True,Australia,1,1
Ultra Lip Gloss,134.54,1.0,4973,Female,False,France,1,2
Super Primer,111.7,1.7,9892,Unisex,True,USA,3,8
Super Cleanser,148.76,2.3,4487,Unisex,False,USA,3,8
Divine Eyeliner,74.51,4.6,4884,Male,False,South Korea,2,6
Super Contour,63.79,2.0,7155,Female,True,France,1,2
Perfect Eyeliner,135.46,4.0,5148,Female,False,USA,1,8
Divine Cleanser,74.45,4.0,69,Female,False,Australia,1,1
Super Foundation,25.46,2.8,6843,Male,False,South Korea,2,6
Magic Makeup Remover,58.41,1.4,4149,Unisex,False,UK,3,7
Perfect Face Mask,142.53,2.5,734,Unisex,False,France,3,2
Perfect Contour,99.2,3.1,4405,Male,True,Japan,2,5
Divine CC Cream,132.98,1.4,7747,Unisex,True,South Korea,3,6
Perfect Lip Liner,72.88,1.1,3358,Female,False,Australia,1,1
Ultra Moisturizer,79.42,4.7,3975,Female,False,France,1,2
Magic Setting Spray,70.15,3.0,786,Unisex,True,Japan,3,5
Magic CC Cream,111.62,4.9,2705,Male,False,South Korea,2,6
Divine Setting Spray,45.83,2.1,6947,Female,False,Japan,1,5
Super Exfoliator,19.74,1.3,5980,Unisex,False,South Korea,3,6
Perfect Eye Shadow,112.67,3.3,1492,Unisex,True,Germany,3,3
Super Highlighter,148.7,3.5,5380,Unisex,False,Australia,3,1
Ultra Serum,49.32,2.5,3274,Female,True,Australia,1,1
Ultra Cleanser,42.84,1.1,4441,Male,True,South Korea,2,6
Perfect Serum,133.56,1.3,7450,Male,False,Australia,2,1
Divine Cleanser,49.67,1.9,8956,Female,False,Germany,1,3
Divine Primer,31.81,3.1,6868,Male,False,Japan,2,5
Super Eyeliner,28.72,2.6,4597,Unisex,False,Japan,3,5
Super Blush,110.51,4.2,2973,Male,False,UK,2,7
Magic Primer,142.17,3.9,8901,Unisex,False,Italy,3,4
Perfect Mascara,97.15,1.2,764,Female,True,Australia,1,1
Ultra Concealer,110.12,2.3,1532,Male,False,Germany,2,3
Ultra Face Oil,13.9,3.6,262,Male,True,USA,2,8
Magic Contour,107.38,4.9,5290,Male,False,Australia,2,1
Magic Mascara,97.75,2.9,3341,Male,False,UK,2,7
Super Eye Shadow,57.24,2.5,7063,Female,True,Italy,1,4
Ultra Eyeliner,94.09,2.5,9321,Unisex,True,France,3,2
Super BB Cream,22.93,4.0,8824,Unisex,False,Germany,3,3
Perfect Concealer,38.7,3.5,1145,Male,True,UK,2,7
Magic Setting Spray,103.44,4.5,7547,Female,False,Germany,1,3
Divine Makeup Remover,84.37,2.4,3721,Unisex,True,France,3,2
Super Bronzer,143.23,4.8,2308,Unisex,True,Italy,3,4
Magic Lipstick,114.37,2.8,9401,Male,False,Italy,2,4
Divine Contour,108.92,3.6,8901,Unisex,False,Italy,3,4
Ultra Blush,15.36,1.5,2461,Female,True,South Korea,1,6
Divine Setting Spray,144.46,1.4,9314,Male,False,UK,2,7
Divine Setting Spray,53.25,3.6,6115,Male,False,Germany,2,3
Ultra Makeup Remover,39.87,3.0,7793,Female,True,France,1,2
Perfect Eyeliner,17.32,2.6,1402,Female,False,Italy,1,4
Super Mascara,104.76,3.3,1435,Male,False,UK,2,7
Magic Makeup Remover,34.46,2.0,5485,Female,True,Italy,1,4
Ultra Face Mask,132.75,3.7,9541,Female,False,Italy,1,4
Perfect BB Cream,86.04,4.2,7546,Female,True,Germany,1,3
Perfect BB Cream,15.83,3.5,7966,Female,True,Italy,1,4
Magic Lipstick,15.17,3.3,9458,Female,False,Australia,1,1
Divine Concealer,114.25,4.6,8534,Female,True,France,1,2
Divine Exfoliator,72.78,3.9,1857,Female,True,Germany,1,3
Super Contour,114.03,1.0,9905,Female,False,Japan,1,5
Divine Contour,105.93,1.7,5581,Male,False,UK,2,7
Ultra Foundation,40.89,3.0,7249,Female,False,South Korea,1,6
Divine Face Mask,141.48,3.7,9189,Unisex,True,Germany,3,3
Divine Concealer,109.61,1.7,506,Male,True,Italy,2,4
Super Exfoliator,78.62,2.7,4829,Male,False,Germany,2,3
Divine BB Cream,101.67,2.3,52,Unisex,False,UK,3,7
Perfect Cleanser,85.31,1.3,8316,Unisex,False,UK,3,7
Divine Exfoliator,76.5,4.8,8962,Unisex,False,Italy,3,4
Magic Contour,129.66,3.3,7110,Female,False,Italy,1,4
Super Lipstick,42.77,4.9,6165,Male,True,Japan,2,5
Magic Eyeliner,97.68,1.3,7863,Female,True,Italy,1,4
Divine Setting Spray,126.69,4.8,9525,Unisex,True,France,3,2
Magic Highlighter,141.34,4.9,9617,Female,True,Japan,1,5
Ultra Eye Shadow,136.12,4.6,5489,Female,False,UK,1,7
Magic Primer,48.08,2.6,8445,Male,False,Italy,2,4
Divine Lip Gloss,149.9,4.3,6185,Female,False,UK,1,7
Super Lip Liner,89.22,2.5,8595,Female,False,South Korea,1,6
Divine Cleanser,41.47,4.3,108,Female,False,South Korea,1,6
Super Face Mask,43.51,3.5,3246,Male,True,USA,2,8
Super Contour,70.22,1.4,6921,Female,True,Germany,1,3
Ultra Serum,108.06,3.5,1467,Male,True,Germany,2,3
Super Primer,148.83,2.7,7034,Female,False,Australia,1,1
Divine Setting Spray,22.51,3.6,8061,Male,True,France,2,2
Divine Mascara,107.14,2.8,5333,Unisex,False,UK,3,7
Divine Lip Gloss,93.49,1.7,1959,Female,True,Australia,1,1
Super Blush,57.93,3.2,7353,Unisex,False,Italy,3,4
Magic Serum,129.56,3.7,7580,Male,False,France,2,2
Ultra Lip Gloss,39.63,3.4,4162,Female,True,USA,1,8
Divine Face Oil,71.49,2.8,770,Unisex,True,Japan,3,5
Ultra Setting Spray,62.75,3.1,2901,Female,True,France,1,2
Ultra Lip Liner,88.28,3.1,159,Unisex,False,Japan,3,5
Magic Cleanser,94.71,3.9,5860,Female,False,Germany,1,3
Magic Serum,63.46,4.2,2493,Unisex,True,South Korea,3,6
Ultra BB Cream,117.39,3.6,709,Male,False,USA,2,8
Magic Lipstick,53.38,1.7,2607,Unisex,True,Australia,3,1
Ultra Exfoliator,71.22,1.5,6782,Male,True,South Korea,2,6
Divine Serum,26.05,4.4,8170,Male,True,Italy,2,4
Perfect Concealer,136.41,1.3,7205,Female,False,South Korea,1,6
Super Powder,97.91,2.2,7774,Male,False,UK,2,7
Divine Mascara,148.59,2.0,3949,Male,True,Italy,2,4
Ultra Face Oil,22.49,3.5,9078,Male,False,Italy,2,4
Perfect Lipstick,83.7,1.5,7243,Unisex,True,Australia,3,1
Divine Primer,145.44,2.1,2793,Unisex,True,Japan,3,5
Super Contour,128.12,2.9,2377,Unisex,False,Japan,3,5
Magic Eye Shadow,122.23,2.4,5600,Female,False,South Korea,1,6
Divine Highlighter,119.67,4.4,9166,Male,True,Italy,2,4
Ultra Powder,92.43,1.7,2230,Male,False,Australia,2,1
Ultra Powder,69.14,4.6,6584,Male,True,USA,2,8
Ultra Powder,29.6,3.4,8832,Female,False,Japan,1,5
Divine Primer,67.61,2.4,425,Male,True,USA,2,8
Perfect Cleanser,86.18,4.9,3436,Female,False,Australia,1,1
Super Makeup Remover,55.52,1.2,5117,Male,True,USA,2,8
Perfect Setting Spray,142.14,3.3,4548,Female,False,Germany,1,3
Magic Eyeliner,149.16,4.4,6158,Female,True,USA,1,8
Divine Cleanser,52.89,3.0,9595,Female,False,Australia,1,1
Ultra Powder,94.96,1.0,9200,Unisex,True,Australia,3,1
Divine Lip Gloss,143.49,2.6,8066,Male,True,UK,2,7
Perfect Lip Liner,62.28,3.7,7809,Male,False,UK,2,7
Perfect Eye Shadow,149.85,1.8,7547,Female,True,USA,1,8
Super Lip Gloss,83.63,4.8,3968,Male,False,UK,2,7
Divine Highlighter,51.65,2.1,3815,Female,True,Australia,1,1
Magic Makeup Remover,65.46,2.5,1441,Male,False,USA,2,8
Perfect Cleanser,47.92,3.9,8471,Female,True,Italy,1,4
Ultra Highlighter,71.25,4.0,5749,Female,False,France,1,2
Ultra Lipstick,73.09,4.8,1574,Unisex,True,Germany,3,3
Super Setting Spray,45.01,4.3,7285,Female,False,UK,1,7
Magic Powder,127.22,3.1,9065,Female,False,Japan,1,5
Perfect Setting Spray,62.17,4.9,4328,Unisex,False,Germany,3,3
Perfect Moisturizer,46.09,2.4,7298,Unisex,False,USA,3,8
Super Cleanser,132.84,2.1,4276,Unisex,True,France,3,2
Perfect Contour,70.92,2.0,5971,Unisex,True,France,3,2
Divine Setting Spray,46.21,4.5,8829,Female,True,Germany,1,3
Super Setting Spray,73.99,2.2,7777,Unisex,True,Japan,3,5
Magic Lip Gloss,47.86,1.4,7664,Female,True,South Korea,1,6
Perfect Highlighter,103.84,3.3,1206,Female,False,USA,1,8
